Sample 15: True = Neris, Pred = Htbot
Sample 43: True = Outlook, Pred = Gmail
Sample 48: True = Shifu, Pred = Neris
Sample 89: True = Outlook, Pred = SMB
Sample 99: True = Outlook, Pred = BitTorrent
Sample 159: True = BitTorrent, Pred = SMB
Sample 180: True = Gmail, Pred = Outlook
Sample 210: True = Gmail, Pred = Outlook
Sample 219: True = Outlook, Pred = Gmail
Sample 228: True = Outlook, Pred = Weibo
Sample 232: True = BitTorrent, Pred = Outlook
Sample 242: True = BitTorrent, Pred = Gmail
Sample 247: True = BitTorrent, Pred = Weibo
Sample 248: True = Gmail, Pred = Outlook
Sample 264: True = Neris, Pred = Virut
Sample 307: True = BitTorrent, Pred = Outlook
Sample 317: True = Htbot, Pred = Neris
Sample 330: True = Neris, Pred = Htbot
Sample 392: True = BitTorrent, Pred = Outlook
Sample 396: True = Virut, Pred = Neris
