File Name,Frequency,Block Frequency,Cumulative Sums,Runs,Longest Run,Rank,FFT,Non-overlapping Template,Overlapping Template,Universal,Approximate Entropy,Random Excursions,Random Excursions Variant,Serial,Linear Complexity,Label
1.1.8.50-1.2.15.173-5231-443-6_4837.bin,0.502335,0.136829,0.563698,0.453032,0.144546,0.69372,0.538167,0.865873,0.886589,0.0,0.000447,0.0,0.0,0.349667,0.95948,BitTorrent
1.1.181.178-1.2.190.40-49909-443-6_103.bin,0.347654,0.056604,0.471188,0.735214,0.676319,0.039105,0.304902,0.844883,0.886589,0.0,0.01898,0.0,0.0,0.900023,0.320828,BitTorrent
1.1.130.27-1.2.61.254-17081-443-6_4518.bin,0.303672,0.022365,0.304777,0.704662,0.508529,0.291891,0.538167,0.855528,0.488416,0.0,0.000457,0.0,0.0,0.648688,0.868444,BitTorrent
1.2.43.110-1.1.144.73-443-12337-6_6677.bin,0.420829,0.501973,0.769421,0.570665,0.019297,0.69372,0.304902,0.855528,0.886589,0.0,0.00061,0.0,0.0,0.695002,0.919679,BitTorrent
1.2.204.232-1.1.113.67-443-32161-6_5551.bin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BitTorrent
1.2.1.170-1.1.193.175-443-47705-6_4093.bin,0.025347,0.328291,0.050695,0.381981,0.155677,0.291891,0.218258,0.855528,0.886589,0.0,0.001477,0.0,0.0,0.448061,0.95948,BitTorrent
1.2.226.180-1.1.255.64-443-23411-6_7411.bin,0.347654,0.349621,0.471188,0.807667,0.428523,0.69372,0.064782,0.40903,0.886589,0.0,0.016143,0.0,0.0,0.549912,0.088364,BitTorrent
1.2.87.122-1.1.79.80-443-61490-6_2032.bin,0.263552,0.718713,0.525513,0.809921,0.83652,0.69372,0.837419,0.8759,0.886589,0.0,3.1e-05,0.0,0.0,0.814738,0.609311,BitTorrent
1.1.121.79-1.2.1.110-1579-443-6_3109.bin,0.107405,0.70484,0.214807,0.939177,0.303032,0.69372,0.837419,0.366667,0.107608,0.0,0.002535,0.0,0.0,4.2e-05,0.868444,BitTorrent
1.2.145.82-1.1.169.48-443-38420-6_2394.bin,0.92873,0.065626,0.810297,0.928872,0.698162,0.69372,0.538167,0.865873,0.488416,0.0,0.000575,0.0,0.0,0.600085,0.868444,BitTorrent
1.2.151.253-1.1.168.35-443-10425-6_5210.bin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BitTorrent
1.1.198.18-1.2.122.56-32509-443-6_1798.bin,0.128379,0.335954,0.256747,0.649314,0.030649,0.69372,0.538167,0.855528,0.886589,0.0,0.000249,0.0,0.0,0.349667,0.95948,BitTorrent
1.2.116.231-1.1.216.221-443-50595-6_1663.bin,0.447097,0.072321,0.195973,0.663987,0.361208,0.69372,0.10068,0.844883,0.886589,0.0,0.002884,0.0,0.0,0.549912,0.985604,BitTorrent
1.2.229.51-1.1.73.75-443-22004-6_3500.bin,0.964329,0.199921,0.727622,0.964365,0.689516,0.69372,0.837419,0.855528,0.295708,0.0,0.003903,0.0,0.0,0.814738,0.009282,BitTorrent
1.2.157.95-1.1.149.104-443-11801-6_2213.bin,0.152406,0.218014,0.304777,0.591867,0.794327,0.291891,0.218258,0.865873,0.282761,0.0,0.019708,0.0,0.0,0.847115,0.029634,BitTorrent
1.2.129.214-1.1.46.43-443-34449-6_4933.bin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BitTorrent
1.2.109.182-1.1.209.226-443-29297-6_1206.bin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BitTorrent
1.1.1.155-1.2.189.58-49652-443-6_6436.bin,0.347654,0.367664,0.187064,0.769173,0.130042,0.291891,0.41177,0.376987,0.886589,0.0,0.012641,0.0,0.0,0.448061,0.95948,BitTorrent
1.2.163.41-1.1.187.110-443-42978-6_7473.bin,0.447097,0.599884,0.685633,0.954017,0.962247,0.69372,0.681519,0.865873,0.886589,0.0,0.000253,0.0,0.0,0.900023,0.985604,BitTorrent
1.1.183.88-1.2.190.114-3884-443-6_4419.bin,0.964329,0.071741,0.603284,0.12839,0.523036,0.69372,1.0,0.833955,0.886589,0.0,4e-06,0.0,0.0,0.07994,0.985604,BitTorrent
1.2.4.96-1.1.124.104-443-46375-6_4320.bin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BitTorrent
1.1.6.129-1.2.17.151-5720-443-6_1113.bin,0.044171,0.019873,0.088343,0.78889,0.003741,0.039105,1.0,0.117527,0.488416,0.0,2.3e-05,0.0,0.0,0.220925,0.203697,BitTorrent
1.1.67.215-1.2.255.201-20612-443-6_3720.bin,0.654721,0.785061,0.374,0.476997,0.414537,0.69372,0.064782,0.855528,0.282761,0.0,0.002549,0.0,0.0,0.738414,0.320828,BitTorrent
1.2.210.184-1.1.238.246-443-55158-6_4204.bin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BitTorrent
1.2.100.201-1.1.93.9-443-27009-6_5067.bin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BitTorrent
1.2.46.197-1.1.35.241-443-13186-6_6085.bin,0.92873,0.718713,0.563698,0.964187,0.0804,0.69372,0.837419,0.376987,0.886589,0.0,0.000745,0.0,0.0,0.260586,0.95948,BitTorrent
1.1.15.116-1.2.23.99-7198-443-6_6036.bin,0.560986,0.63605,0.304777,0.507091,0.589373,0.291891,0.538167,0.855528,0.282761,0.0,0.003662,0.0,0.0,0.938169,0.95948,BitTorrent
1.1.169.24-1.2.36.212-38295-443-6_7196.bin,0.622765,0.709482,0.867899,0.888982,0.838945,0.69372,0.681519,0.822764,0.295708,0.0,0.000371,0.0,0.0,0.77844,0.95948,BitTorrent
1.1.198.84-1.2.121.127-53815-443-6_3559.bin,0.754243,0.81579,0.727622,0.559491,0.906195,0.69372,0.10068,0.844883,0.886589,0.0,9.7e-05,0.0,0.0,0.900023,0.95948,BitTorrent
